"fixed acidity;""volatile acidity"";""citric acid"";""residual sugar"";""chlorides"";""free sulfur dioxide"";""total sulfur dioxide"";""density"";""ph"";""sulphates"";""alcohol"";""quality"""
7.4;0.7;0;1.9;0.076;11;34;0.9978;3.51;0.56;9.4;5
7.8;0.88;0;2.6;0.098;25;67;0.9968;3.2;0.68;9.8;5
7.8;0.76;0.04;2.3;0.092;15;54;0.997;3.26;0.65;9.8;5
11.2;0.28;0.56;1.9;0.075;17;60;0.998;3.16;0.58;9.8;6
7.4;0.7;0;1.9;0.076;11;34;0.9978;3.51;0.56;9.4;5
7.4;0.66;0;1.8;0.075;13;40;0.9978;3.51;0.56;9.4;5
7.9;0.6;0.06;1.6;0.069;15;59;0.9964;3.3;0.46;9.4;5
7.3;0.65;0;1.2;0.065;15;21;0.9946;3.39;0.47;10;7
7.8;0.58;0.02;2;0.073;9;18;0.9968;3.36;0.57;9.5;7
7.5;0.5;0.36;6.1;0.071;17;102;0.9978;3.35;0.8;10.5;5
6.7;0.58;0.08;1.8;0.097;15;65;0.9959;3.28;0.54;9.2;5
6.4;0.57;0.02;1.8;0.067;4;11;0.997;3.46;0.68;9.5;5
6.4;0.865;0.03;3.2;0.071;27;58;0.995;3.61;0.49;12.7;6
9.5;0.55;0.66;2.3;0.387;12;37;0.9982;3.17;0.67;9.6;5
8.9;0.875;0.13;3.45;0.088;4;14;0.9994;3.44;0.52;11.5;5
7.3;0.835;0.03;2.1;0.092;10;19;0.9966;3.39;0.47;9.6;5
7;0.45;0.34;2.7;0.082;16;72;0.998;3.55;0.6;9.5;5
7.7;0.56;0.2;2;0.075;9;39;0.9987;3.48;0.62;9.3;5
7.7;0.965;0.1;2.1;0.112;11;22;0.9963;3.26;0.5;9.5;5
7.7;0.965;0.1;2.1;0.112;11;22;0.9963;3.26;0.5;9.5;5
8.2;0.59;0;2.5;0.093;19;58;1.0002;3.5;0.65;9.3;6
9;0.46;0.23;2.8;0.092;28;104;0.9983;3.1;0.56;9.2;5
9;0.69;0;2.4;0.088;19;38;0.999;3.35;0.6;9.3;5
8.3;0.76;0.29;4.2;0.075;12;16;0.9965;3.45;0.68;11.5;6
9.2;0.53;0.24;2.6;0.078;28;139;0.99788;3.21;0.57;9.5;5
6.5;0.615;0;1.9;0.065;9;18;0.9972;3.46;0.65;9.2;5
11.6;0.41;0.58;2.8;0.096;25;101;1.00024;3.13;0.53;10;5
11.1;0.39;0.54;2.7;0.095;21;101;1.0001;3.13;0.51;9.5;5
7;0.27;0.36;20.7;0.045;45;170;1.001;3;0.45;8.8;6
6.3;0.3;0.34;1.6;0.049;14;132;0.994;3.3;0.49;9.5;6
8.1;0.28;0.4;6.9;0.05;30;97;0.9951;3.26;0.44;10.1;6
7.2;0.23;0.32;8.5;0.058;47;186;0.9956;3.19;0.4;9.9;6
7.2;0.23;0.32;8.5;0.058;47;186;0.9956;3.19;0.4;9.9;6
8.1;0.28;0.4;6.9;0.05;30;97;0.9951;3.26;0.44;10.1;6
6.2;0.32;0.16;7;0.045;30;136;0.9949;3.18;0.47;9.6;6
7;0.27;0.36;20.7;0.045;45;170;1.001;3;0.45;8.8;6
6.3;0.3;0.34;1.6;0.049;14;132;0.994;3.3;0.49;9.5;6
8.1;0.22;0.43;1.5;0.044;28;129;0.9938;3.22;0.45;11;6
8.1;0.27;0.41;1.45;0.033;11;63;0.9908;2.99;0.56;12;5
8.6;0.23;0.4;4.2;0.035;17;109;0.9947;3.14;0.53;9.7;5
7.9;0.18;0.37;1.2;0.04;16;75;0.992;3.18;0.63;10.8;5
6.6;0.16;0.4;1.5;0.044;48;143;0.9912;3.54;0.52;12.4;7
8.3;0.42;0.62;19.25;0.04;41;172;1.0002;2.98;0.67;9.7;5
6.6;0.17;0.38;1.5;0.032;28;112;0.9914;3.25;0.55;11.4;7
6.3;0.48;0.04;1.1;0.046;30;99;0.9928;3.24;0.36;9.6;6
6.2;0.66;0.48;1.2;0.029;29;75;0.9892;3.33;0.39;12.8;8
7.4;0.34;0.42;1.1;0.033;17;171;0.9917;3.12;0.53;11.3;6
6.5;0.31;0.14;7.5;0.044;34;133;0.9955;3.22;0.5;9.5;5
6.2;0.66;0.48;1.2;0.029;29;75;0.9892;3.33;0.39;12.8;8
6.4;0.31;0.38;2.9;0.038;19;102;0.9912;3.17;0.35;11;7
6.8;0.26;0.42;1.7;0.049;41;122;0.993;3.47;0.48;10.5;8
7.6;0.67;0.14;1.5;0.074;25;168;0.9937;3.05;0.51;9.3;5
6.6;0.27;0.41;1.3;0.052;16;142;0.9951;3.42;0.47;10;6
7;0.25;0.32;9;0.046;56;245;0.9955;3.25;0.5;10.4;6
6.9;0.24;0.35;1;0.052;35;146;0.993;3.45;0.44;10;6
