"fixed acidity";"volatile acidity";"citric acid";"residual sugar";"chlorides";"free sulfur dioxide";"total sulfur dioxide";"density";"pH";"sulphates";"alcohol";"quality"
7.4;0.7;0;1.9;0.076;11;34;0.9978;3.51;0.56;9.4;5
7.8;0.88;0;2.6;0.098;25;67;0.9968;3.2;0.68;9.8;5
7.8;0.76;0.04;2.3;0.092;15;54;0.997;3.26;0.65;9.8;5
11.2;0.28;0.56;1.9;0.075;17;60;0.998;3.16;0.58;9.8;6
7.4;0.7;0;1.9;0.076;11;34;0.9978;3.51;0.56;9.4;5
7.4;0.66;0;1.8;0.075;13;40;0.9978;3.51;0.56;9.4;5
7.9;0.6;0.06;1.6;0.069;15;59;0.9964;3.3;0.46;9.4;5
7.3;0.65;0;1.2;0.065;15;21;0.9946;3.39;0.47;10;7
7.8;0.58;0.02;2;0.073;9;18;0.9968;3.36;0.57;9.5;7
7.5;0.5;0.36;6.1;0.071;17;102;0.9978;3.35;0.8;10.5;5
6.7;0.58;0.08;1.8;0.097;15;65;0.9959;3.28;0.54;9.2;5
6.4;0.57;0.02;1.8;0.067;4;11;0.997;3.46;0.68;9.5;5
6.4;0.865;0.03;3.2;0.071;27;58;0.995;3.61;0.49;12.7;6
9.5;0.55;0.66;2.3;0.387;12;37;0.9982;3.17;0.67;9.6;5
8.9;0.875;0.13;3.45;0.088;4;14;0.9994;3.44;0.52;11.5;5
7.3;0.835;0.03;2.1;0.092;10;19;0.9966;3.39;0.47;9.6;5
7;0.45;0.34;2.7;0.082;16;72;0.998;3.55;0.6;9.5;5
7.7;0.56;0.2;2;0.075;9;39;0.9987;3.48;0.62;9.3;5
7.7;0.965;0.1;2.1;0.112;11;22;0.9963;3.26;0.5;9.5;5
7.7;0.965;0.1;2.1;0.112;11;22;0.9963;3.26;0.5;9.5;5
8.2;0.59;0;2.5;0.093;19;58;1.0002;3.5;0.65;9.3;6
9;0.46;0.23;2.8;0.092;28;104;0.9983;3.1;0.56;9.2;5
9;0.69;0;2.4;0.088;19;38;0.999;3.35;0.6;9.3;5
8.3;0.76;0.29;4.2;0.075;12;16;0.9965;3.45;0.68;11.5;6
9.2;0.53;0.24;2.6;0.078;28;139;0.99788;3.21;0.57;9.5;5
6.5;0.615;0;1.9;0.065;9;18;0.9972;3.46;0.65;9.2;5
11.6;0.41;0.58;2.8;0.096;25;101;1.00024;3.13;0.53;10;5
11.1;0.39;0.54;2.7;0.095;21;101;1.0001;3.13;0.51;9.5;5
